Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Shea Theodore D,6 UFA,"NTC","RD",NHL,31,6.31125,6.31125,6.31125,6.31125,6.31125,6.31125,,,,False
Brandt Clarke D,5 UFA,"","RD",NHL,23,6.29,6.29,6.29,6.29,6.29,UFA,0,185,185,False
Chandler Stephenson C,5 UFA,"NMC","C",NHL,32,6.25,6.25,6.25,6.25,6.25,UFA,,,,False
Adin Hill G,5 UFA,"M-NTC","G",NHL,30,6.25,6.25,6.25,6.25,6.25,UFA,0,213,213,False
Anthony Cirelli C,5 UFA,"NTC","C",NHL,29,6.25,6.25,6.25,6.25,6.25,UFA,,,,False
Quinton Byfield C,3 UFA,"","C, RW",NHL,24,6.25,6.25,6.25,UFA,,,0,339,339,False
Yegor Chinakhov LW,3 UFA,"","LW, RW",NHL,25,6.25,6.25,6.25,UFA,,,0,247,247,False
Alex Killorn LW,1 UFA,"M-NTC","LW, RW",NHL,36,6.25,UFA,,,,,,,,False
Noah Hanifin D,6 UFA,"NTC","LD",NHL,29,6.2475,6.2475,6.2475,6.2475,6.2475,6.2475,,,,False
Vince Dunn D,1 UFA,"M-NTC","LD",NHL,29,6.2475,UFA,,,,,,,,False
Owen Tippett RW,6 UFA,"M-NTC","RW, LW",NHL,27,6.2,6.2,6.2,6.2,6.2,6.2,,,,False
Filip Hronek D,6 UFA,"NMC","RD",NHL,28,6.1625,6.1625,6.1625,6.1625,6.1625,6.1625,,,,False
Simon Nemec D,5 UFA,"","RD",NHL,22,6.1625,6.1625,6.1625,6.1625,6.1625,UFA,0,155,155,False
Devon Toews D,5 UFA,"M-NTC","LD",NHL,32,6.1625,6.1625,6.1625,6.1625,6.1625,UFA,,,,False
Valeri Nichushkin RW,4 UFA,"M-NTC","RW, LW",NHL,31,6.125,6.125,6.125,6.125,UFA,,,,,False
Pavel Mintyukov D,5 UFA,"","LD",NHL,22,6.12,6.12,6.12,6.12,6.12,UFA,0,204,204,False
Brandon Montour D,5 UFA,"NTC","RD",NHL,32,6.071428,6.071428,6.071428,6.071428,6.071428,UFA,,,,False
Logan Stankoven C,8 UFA,"","C",NHL,23,6.0,6.0,6.0,6.0,6.0,6.0,0,183,183,False
Charlie Coyle C,6 UFA,"NMC","C",NHL,34,6.0,6.0,6.0,6.0,6.0,6.0,,,,False
Conor Garland RW,6 UFA,"NMC","RW",NHL,30,6.0,6.0,6.0,6.0,6.0,6.0,,,,False
Cole Perfetti LW,5 UFA,"","LW, RW, C",NHL,24,6.0,6.0,6.0,6.0,6.0,UFA,0,290,290,False
Alexander Wennberg C,3 UFA,"NTC","C",NHL,31,6.0,6.0,6.0,UFA,,,,,,False
Frank Vatrano LW,2 UFA,"M-NTC","LW, RW",NHL,32,6.0,6.0,UFA,,,,,,,False
Tyler Toffoli RW,2 UFA,"NTC","RW, LW, C",NHL,34,6.0,6.0,UFA,,,,,,,False
Jacob Markstrom G,2 UFA,"M-NTC","G",NHL,36,6.0,6.0,UFA,,,,0,578,578,False
Jordan Binnington G,1 UFA,"M-NTC","G",NHL,33,6.0,UFA,,,,,0,377,377,False
Ondrej Palat LW,1 UFA,"M-NTC, NMC","LW",NHL,35,6.0,UFA,,,,,,,,False
Jake Walman D,7 UFA,"NMC","LD, RD",NHL,30,5.95,5.95,5.95,5.95,5.95,5.95,,,,False
Vladislav Gavrikov D,6 UFA,"NMC","LD",NHL,30,5.95,5.95,5.95,5.95,5.95,5.95,,,,False
Brady Skjei D,5 UFA,"NMC","LD",NHL,32,5.95,5.95,5.95,5.95,5.95,UFA,,,,False
Neal Pionk D,5 UFA,"M-NTC","RD",NHL,31,5.95,5.95,5.95,5.95,5.95,UFA,,,,False
Philipp Grubauer G,1 UFA,"M-NTC","G",NHL,34,5.9,UFA,,,,,0,402,402,False
William Karlsson C,1 UFA,"M-NTC","C",NHL,33,5.9,UFA,,,,,,,,False
Logan Thompson G,5 UFA,"M-NTC","G",NHL,29,5.85,5.85,5.85,5.85,5.85,UFA,0,204,204,False
Spencer Knight G,3 UFA,"","G",NHL,25,5.833333,5.833333,5.833333,UFA,,,0,150,150,False
Bobby McMann LW,6 UFA,"NTC","LW, RW, C",NHL,30,5.75,5.75,5.75,5.75,5.75,5.75,,,,False
Kiefer Sherwood RW,5 UFA,"NTC","RW",NHL,31,5.75,5.75,5.75,5.75,5.75,UFA,,,,False
Yegor Sharangovich LW,4 UFA,"M-NTC","LW, RW",NHL,28,5.75,5.75,5.75,5.75,UFA,,,,,False
Boone Jenner LW,4 UFA,"M-NTC","LW, C",NHL,33,5.75,5.75,5.75,5.75,UFA,,,,,False
Casey Mittelstadt LW,1 UFA,"","LW",NHL,27,5.75,UFA,,,,,0,509,509,False
J.J. Moser D,8 UFA,"","LD, RD",NHL,26,5.7375,5.7375,5.7375,5.7375,5.7375,5.7375,0,338,338,False
Vincent Trocheck C,3 UFA,"M-NTC","C",NHL,33,5.625,5.625,5.625,UFA,,,,,,False
Andrew Copp C,1 UFA,"M-NTC","C, LW",NHL,32,5.625,UFA,,,,,,,,False
William Eklund LW,3 RFA,"","LW",NHL,23,5.6,5.6,5.6,RFA,,,0,252,252,False
Colton Parayko D,4 UFA,"NTC","RD",NHL,33,5.525,5.525,5.525,5.525,UFA,,,,,False
Jamie Drysdale D,4 UFA,"","RD",NHL,24,5.525,5.525,5.525,5.525,UFA,,0,295,295,False
Hampus Lindholm D,4 UFA,"NTC, NMC","LD",NHL,32,5.525,5.525,5.525,5.525,UFA,,,,,False
Dmitry Orlov D,1 UFA,"M-NTC","LD",NHL,35,5.525,UFA,,,,,,,,False
Torey Krug D,1 UFA,"M-NTC","LD",IR,35,5.525,UFA,,,,,,,,False
Justin Faulk D,1 UFA,"M-NTC","RD",NHL,34,5.525,UFA,,,,,,,,False
Mavrik Bourque RW,6 UFA,"","RW",NHL,24,5.5,5.5,5.5,5.5,5.5,5.5,0,156,156,False
Jake DeBrusk LW,5 UFA,"NMC","LW, RW",NHL,29,5.5,5.5,5.5,5.5,5.5,UFA,,,,False
Morgan Geekie LW,5 UFA,"NMC","LW, RW, C",NHL,28,5.5,5.5,5.5,5.5,5.5,UFA,,,,False
Jonathan Marchessault RW,3 UFA,"NMC","RW, C",NHL,35,5.5,5.5,5.5,UFA,,,,,,False
Sean Monahan C,3 UFA,"NMC","C",NHL,31,5.5,5.5,5.5,UFA,,,,,,False
Zach Hyman RW,2 UFA,"M-NTC","RW",NHL,34,5.5,5.5,UFA,,,,,,,False
Jordan Eberle RW,2 UFA,"NTC","RW",NHL,36,5.5,5.5,UFA,,,,,,,False
Tyler Bertuzzi LW,2 UFA,"M-NTC","LW, RW",NHL,31,5.5,5.5,UFA,,,,,,,False
